%Y%m%d%H%M;USDCHF
199604010000;1.193
199604010030;1.1941
199604010100;1.1933
199604010130;1.1931
199604010200;1.1924
199604010230;1.1926
199604010300;1.1926
199604010330;1.1932
199604010400;1.1933
199604010430;1.1932
199604010500;1.1933
199604010530;1.1934
199604010600;1.194
199604010630;1.1937
199604010700;1.1938
199604010730;1.1938
199604010800;1.1945
199604010830;1.194
199604010900;1.1944
199604010930;1.1947
199604011000;1.194
199604011030;1.1937
199604011100;1.193
199604011130;1.1929
199604011200;1.1943
199604011230;1.1945
199604011300;1.1952
199604011330;1.1944
199604011400;1.1946
199604011430;1.1954
199604011500;1.1955
199604011530;1.1945
199604011600;1.194
199604011630;1.1944
199604011700;1.1945
199604011730;1.1946
199604011800;1.1949
199604011830;1.1955
199604011900;1.1955
199604011930;1.1945
199604012000;1.1948
199604012030;1.1946
199604012100;1.1942
199604012130;1.1942
199604012200;1.1942
199604012230;1.1937
199604012300;1.1939
199604012330;1.1936
199604020000;1.1934
199604020030;1.1942
199604020100;1.1937
199604020130;1.1937
199604020200;1.1932
199604020230;1.1933
199604020300;1.193
199604020330;1.1932
199604020400;1.1925
199604020430;1.1922
199604020500;1.1933
199604020530;1.1935
199604020600;1.1935
199604020630;1.1925
199604020700;1.1925
199604020730;1.192
199604020800;1.1924
199604020830;1.1923
199604020900;1.1924
199604020930;1.1921
199604021000;1.1917
199604021030;1.1927
199604021100;1.1923
199604021130;1.1924
199604021200;1.193
199604021230;1.1925
199604021300;1.1923
199604021330;1.1926
199604021400;1.1935
199604021430;1.1945
199604021500;1.1931
199604021530;1.1929
199604021600;1.194
199604021630;1.1925
199604021700;1.1927
199604021730;1.1925
199604021800;1.1938
199604021830;1.1937
199604021900;1.1935
199604021930;1.1935
199604022000;1.1943
199604022030;1.1946
199604022100;1.1946
199604022130;1.1956
199604022200;1.1958
199604022230;1.1947
199604022300;1.1948
199604022330;1.1947
199604030000;1.1949
199604030030;1.1946
199604030100;1.1942
199604030130;1.1951
199604030200;1.1953
199604030230;1.196
199604030300;1.196
199604030330;1.1967
199604030400;1.1967
199604030430;1.194
199604030500;1.1945
199604030530;1.1943
199604030600;1.1927
199604030630;1.1938
199604030700;1.1927
199604030730;1.1927
199604030800;1.1935
199604030830;1.1939
199604030900;1.1931
199604030930;1.1935
199604031000;1.1935
199604031030;1.1937
199604031100;1.1933
199604031130;1.1932
199604031200;1.1938
199604031230;1.1927
199604031300;1.1912
199604031330;1.1918
199604031400;1.1911
199604031430;1.1924
199604031500;1.1936
199604031530;1.1934
199604031600;1.1925
199604031630;1.1927
199604031700;1.1939
199604031730;1.196
199604031800;1.1947
199604031830;1.1946
199604031900;1.1948
199604031930;1.1952
199604032000;1.1944
199604032030;1.1966
199604032100;1.1966
199604032130;1.1957
199604032200;1.1964
199604032230;1.1972
199604032300;1.1971
199604032330;1.1964
199604040000;1.1964
199604040030;1.1962
199604040100;1.1953
199604040130;1.196
199604040200;1.1952
199604040230;1.1957
199604040300;1.195
199604040330;1.195
199604040400;1.1954
199604040430;1.1955
199604040500;1.1955
199604040530;1.195
199604040600;1.1947
199604040630;1.1958
199604040700;1.1951
199604040730;1.1969
199604040800;1.1971
199604040830;1.1968
199604040900;1.1975
199604040930;1.198
199604041000;1.1975
199604041030;1.1966
199604041100;1.1962
199604041130;1.1965
199604041200;1.1977
199604041230;1.1979
199604041300;1.1975
199604041330;1.1974
199604041400;1.1965
199604041430;1.1961
199604041500;1.1964
199604041530;1.1973
199604041600;1.1941
199604041630;1.1942
199604041700;1.194
199604041730;1.193
199604041800;1.1933
199604041830;1.1925
199604041900;1.1931
199604041930;1.1935
199604042000;1.1937
199604042030;1.1923
199604042100;1.1924
199604042130;1.1924
199604042200;1.1935
199604042230;1.1933
199604042300;1.1937
199604042330;1.1938
199604050000;1.1936
199604050030;1.1925
199604050100;1.193
199604050130;1.1929
199604050200;1.1923
199604050230;1.1923
199604050300;1.1925
199604050330;1.1926
199604050400;1.1926
199604050430;1.1925
199604050500;1.1927
199604050530;1.1939
199604050600;1.1938
199604050630;1.193
199604050700;1.1926
199604050730;1.1929
199604050800;1.1934
199604050830;1.1931
199604050900;1.1932
199604050930;1.1937
199604051000;1.1938
199604051030;1.1939
199604051100;1.1938
199604051130;1.1936
199604051200;1.1934
199604051230;1.1938
199604051300;1.1937
199604051330;1.1937
199604051400;1.1953
199604051430;1.194
199604051500;1.1952
199604051530;1.1955
199604051600;1.1952
199604051630;1.1964
199604051700;1.1963
199604051730;1.1969
199604051800;1.1965
199604051830;1.1963
199604051900;1.1964
199604051930;1.1964
199604052000;1.1965
199604052030;1.1966
199604052100;1.1966
199604052130;1.1967
199604052200;1.1967
