"%Y-%m-%d";Open;High;Low;Close;Volume
2000-12-08;54.625;55.875;53.4375;54.4375;60469900
2000-12-11;55.5;58.75;55;58.0625;47788100
2000-12-12;57.8125;60;56.75;58.375;31553000
2000-12-13;60.5;60.5;56.8125;57.25;49180200
2000-12-14;57.9375;58.7344;55.375;55.5;35600700
2000-12-15;51.0469;52;47.75;49.1875;58449900
2000-12-18;49;50;47;47.8125;53593700
2000-12-19;47.4375;48;44.5;44.8125;60135900
2000-12-20;42.8125;44;41.375;41.5;74518900
2000-12-21;40.75;45.125;40.3125;43.4375;81586500
2000-12-22;44.75;47.125;44.75;46.4375;54775900
2000-12-26;46.875;48.5625;45.875;46.875;33470800
2000-12-27;46.125;46.8125;45;46.4375;34501900
2000-12-28;45.125;46.25;43.875;44.5625;38809600
2000-12-29;43.9375;45.8125;43;43.375;49988800
2001-01-02;44.125;45;42.875;43.375;41206600
2001-01-03;43.1875;48.875;43.125;47.9375;67981100
2001-01-04;47.8125;50.5;46.875;48.4375;56198500
2001-01-05;48.5;49.875;47.5625;49.125;46707300
2001-01-08;48.9375;49.75;46.6875;48.9375;39908800
2001-01-09;50;52.625;49.75;51.8125;57482700
2001-01-10;51;53.8125;50.75;52.875;45115100
2001-01-11;53;55.75;52.3125;55;50927400
2001-01-12;54.875;55;52.5;53.5;36856000
2001-01-16;53.375;53.5;51.125;52.5625;34231200
2001-01-17;53.625;54.875;52.5625;52.9375;36422100
2001-01-18;53.6875;56.1875;52.625;55.5;54894400
2001-01-19;60;61.4375;58.875;61;104674400
2001-01-22;60.75;61;59;60.125;38336500
2001-01-23;59.75;60.9375;58.9375;60.5625;35147600
2001-01-24;61;63.4375;60.75;62.9375;55227500
2001-01-25;62.75;64;61.5625;61.8125;42828700
2001-01-26;61;64.3125;61;64;46540000
2001-01-29;63.5625;64.625;63.5;64.5;42491900
2001-01-30;64.5;64.75;62.875;63.375;28638400
2001-01-31;63;63.75;61;61.0625;40949400
2001-02-01;60.8125;62.625;60.375;62.375;35896400
2001-02-02;62.5;63.375;60.75;60.8125;35550000
2001-02-05;60.75;62.0625;60.25;61.9375;25699600
2001-02-06;62.0625;63.8125;61.6875;62.5625;48221000
2001-02-07;62;65.0625;61.8125;64.6875;63030900
2001-02-08;63.75;64.5;62;62.25;44020600
2001-02-09;61.3125;61.5625;58.5;59.125;50287600
2001-02-12;58.8125;59.4375;57.1875;58.75;35644700
2001-02-13;59.625;61.0625;58.125;58.1875;38035300
2001-02-14;57.625;59;56.375;58.375;30864200
2001-02-15;59;60.1875;57.875;58.8125;32813900
2001-02-16;57;58.25;56.125;57.3125;33479200
2001-02-20;57.375;58.25;55.375;55.875;30365400
2001-02-21;55.25;58.0625;55.1875;56.25;31973600
2001-02-22;56.3125;56.8125;53.875;55.1875;50408200
2001-02-23;54.4375;57.5;54.3125;56.75;46310300
2001-02-26;57.625;59.9375;57.375;59.5625;43968400
2001-02-27;59.375;61.1875;58.6719;59.375;49574300
2001-02-28;59.5625;60.0781;58.1875;59;42304200
2001-03-01;58.5625;59.5;56.25;59.3594;40890800
2001-03-02;57.5;58.125;56.4375;56.6875;39900400
2001-03-05;57.25;58.625;56.5625;57.4375;24691800
2001-03-06;58.625;60;58.375;59.4375;33390900
2001-03-07;59.875;61.125;59.3125;60.6875;29871800
2001-03-08;60.3125;60.5938;58.4375;59.25;27313000
2001-03-09;57.9375;58.1875;54.875;56.6875;51897200
2001-03-12;54.6875;55;51.625;51.9375;57188000
2001-03-13;52.1875;54.75;52;54.1875;45517800
2001-03-14;52.5;55.25;52.1875;54;45343100
2001-03-15;55.3125;56.0781;53.5;53.6875;35819200
2001-03-16;52.5;55.125;52.4844;54.5625;56424400
2001-03-19;54.5;55.5;53.125;54.3125;30518200
2001-03-20;54.5625;56.125;52.625;52.6875;45911400
2001-03-21;52.25;53.25;49.75;50.0625;62494300
2001-03-22;50.5625;54.0625;50.5;54;63181600
2001-03-23;54.9375;57;54.375;56.5625;49759800
2001-03-26;57.125;57.5;55.5625;56.0625;31559300
2001-03-27;56.0625;58.5625;55.875;58.25;47567800
2001-03-28;57.375;57.9375;55.375;55.5625;39340800
2001-03-29;55.375;57.1875;54.5625;55.375;43492500
2001-03-30;55.75;56.1875;53.875;54.6875;45600800
2001-04-02;54.8125;56.9375;54.625;55.8125;37962000
2001-04-03;55.3125;55.3125;52.75;53.375;47093800
2001-04-04;53.375;55;51.0625;51.9375;52023300
2001-04-05;53.75;57.375;53.5;56.75;56682000
2001-04-06;56.375;57.1875;55.0625;56.1875;46311000
2001-04-09;56.57;57.42;55.66;57.15;28147800
2001-04-10;57.95;60.09;57.78;59.68;54599700
2001-04-11;60.65;61.5;59.7;60.04;54939800
2001-04-12;59.56;62.31;59.35;62.18;43760000
2001-04-16;61.4;61.58;60.12;60.79;32928700
2001-04-17;60.52;62.11;60.04;61.48;42574600
2001-04-18;63.39;66.31;63;65.43;78348200
2001-04-19;65.81;69;65.75;68.04;79687800
2001-04-20;70.3;71.1;68.5;69;96459800
2001-04-23;68.11;68.47;66.9;68.25;46085600
2001-04-24;68.2;69.93;67.14;67.55;44588300
2001-04-25;67.57;69.79;67.25;69.69;38372000
2001-04-26;70.07;71;68.25;69.13;59368800
2001-04-27;69.53;69.68;66.21;67.12;60786200
2001-04-30;68.53;69.06;67.68;67.75;37184100
2001-05-01;67.66;70.3;67.6;70.17;41851400
2001-05-02;71;71.15;69.35;69.76;46432200
2001-05-03;69.25;70.18;68.14;68.53;33136700
2001-05-04;68;71.05;67.96;70.75;59769200
2001-05-07;70.83;72.15;70.7;71.38;54678100
2001-05-08;71.75;72.1;70.75;72.06;37542000
2001-05-09;71.24;71.3;69.86;70.4;38338300
2001-05-10;71.13;71.24;69.96;70;32167300
2001-05-11;69.96;70;68.65;69.4;25564400
2001-05-14;69.13;69.2;68.3;68.72;22484000
2001-05-15;68.74;69.3;68;68.27;30692800
2001-05-16;67.7;69.88;67.33;69.16;45946900
2001-05-17;69.1;70.14;67.55;68.17;53492400
2001-05-18;67.69;69.2;67.25;68.09;45302700
2001-05-21;68.05;69.99;67.75;68.79;51745800
2001-05-22;69.45;70.35;69.18;70.31;41727800
2001-05-23;70.39;71.6;69.51;69.7;46818700
2001-05-24;69.94;71.78;69.27;71.72;40390800
2001-05-25;71.66;71.9;70.36;70.91;26373800
2001-05-29;70.8;71.75;70.05;70.34;35605400
2001-05-30;69.56;70.58;68.65;69.19;43250900
2001-05-31;69.49;70.38;68.4;69.18;35341300
2001-06-01;69.6;70.7;68.7;70.34;28793800
2001-06-04;70.55;71.02;69.8;70.78;21868300
2001-06-05;70.76;73.08;70.5;72.6;44727100
2001-06-06;72.89;73.48;71.55;72.36;40011400
2001-06-07;72.12;73.73;72.08;73.68;33480000
2001-06-08;73.7;73.75;72.05;73.19;25933500
2001-06-11;72.85;72.85;71.51;72.12;23672800
2001-06-12;71.02;72.41;70.81;72.08;33357300
2001-06-13;72.05;72.3;70.64;70.69;27651200
2001-06-14;70.22;70.55;68.4;68.9;35986200
2001-06-15;67.51;68.3;66.4;68.02;54177200
2001-06-18;67.95;67.96;66.01;66.88;28423400
2001-06-19;68.21;68.85;66.85;67.32;31728700
2001-06-20;67.14;69.59;67.1;69.41;32054200
2001-06-21;69.15;70.55;68.92;69.84;34801900
2001-06-22;70;70.61;68.58;68.83;25546000
2001-06-25;69.1;69.81;67.77;68.85;24607800
2001-06-26;67.82;70.21;67.7;70.14;31538500
2001-06-27;69.86;71.53;69.36;71.14;34599900
2001-06-28;71.55;76.15;70.53;72.74;64487800
2001-06-29;72.6;73.41;71.4;73;47141900
2001-07-02;72.05;73.15;70.15;70.6;36405100
2001-07-03;70.3;70.8;69.93;70.47;14018700
2001-07-05;70.22;70.72;68.44;68.51;24621300
2001-07-06;68.3;68.4;65.67;66.06;33733900
2001-07-09;66.2;66.91;65.04;65.69;33238300
2001-07-10;65.9;66.25;64.35;64.48;33281300
2001-07-11;64.21;66.75;64.2;66.5;36911300
2001-07-12;70.7;72.05;70.33;71.6;64039000
2001-07-13;71.4;72;70.94;71.34;29467300
2001-07-16;71.45;72.16;70.15;71.18;27995400
2001-07-17;70.66;72.01;70.14;71.82;31620500
2001-07-18;70.6;71.5;69.87;70.57;28795400
2001-07-19;71.22;73;71.22;72.57;38274700
2001-07-20;68.03;69.4;67.94;69.18;62101800
2001-07-23;69.24;69.24;66.35;67.09;39999700
2001-07-24;67;67.99;65.7;66.32;33765100
2001-07-25;66.26;67.52;65.61;67.48;37032700
2001-07-26;67.12;67.32;65.5;66.59;38987000
2001-07-27;66.05;66.25;65.05;65.47;32698000
2001-07-30;65.65;66.88;65.54;65.8;21098200
2001-07-31;66.01;67.39;65.85;66.19;29515800
2001-08-01;66.8;66.81;65.76;66.47;27839500
2001-08-02;67.21;67.54;66.26;67.45;27099200
2001-08-03;67.3;67.36;66;66.89;21630200
2001-08-06;66.53;67.12;65.68;66.13;13915800
2001-08-07;66.04;67.05;65.99;66.35;15673900
2001-08-08;66.51;67.24;64.49;64.86;27498200
2001-08-09;64.98;65.55;64.3;65.01;22768100
2001-08-10;64.77;65.86;62.9;65.52;25878200
2001-08-13;65.24;65.99;64.75;65.83;16337700
2001-08-14;65.75;66.09;64.45;64.69;18240600
2001-08-15;64.71;65.05;63.2;63.2;19751500
2001-08-16;62.84;64.71;62.7;64.62;21952800
2001-08-17;63.78;64.13;61.5;61.88;26117100
2001-08-20;61.66;62.75;61.1;62.7;24185600
2001-08-21;62.7;63.2;60.71;60.78;23555900
2001-08-22;61.13;61.15;59.08;60.66;39053600
2001-08-23;60.67;61.53;59;59.12;25906600
2001-08-24;59.6;62.28;59.23;62.05;31699500
2001-08-27;61.9;63.36;61.57;62.31;22281400
2001-08-28;62.34;62.95;60.58;60.74;23711400
2001-08-29;61.05;61.3;59.54;60.25;24085000
2001-08-30;59.04;59.66;56.52;56.94;48816000
2001-08-31;56.85;58.06;56.3;57.05;28950400
2001-09-04;57.19;59.08;56.07;56.1;33594600
2001-09-05;56.18;58.39;55.39;57.74;44735300
2001-09-06;56.56;58.39;55.9;56.02;56178400
2001-09-07;56.11;57.36;55.31;55.4;44931900
2001-09-10;54.92;57.95;54.7;57.58;42235900
2001-09-17;54.02;55.1;52.8;52.91;63751000
2001-09-18;53.41;55;53.17;54.32;41591300
2001-09-19;54.46;54.7;50.6;53.87;63475100
2001-09-20;52.35;52.61;50.67;50.76;58991600
2001-09-21;47.92;50.6;47.5;49.71;92488300
2001-09-24;50.65;52.45;49.87;52.01;42790100
2001-09-25;52.27;53;50.16;51.3;42470300
2001-09-26;51.51;51.8;49.55;50.27;29262200
2001-09-27;50.1;50.68;48;49.96;40595600
