"%Y-%m-%d";Open;High;Low;Close;Volume
2000-09-27;63.4375;63.5625;59.8125;60.625;53077800
2000-09-28;60.8125;61.875;60.625;61.3125;26180200
2000-09-29;61;61.3125;58.625;60.3125;37026800
2000-10-02;60.5;60.8125;58.25;59.125;29281200
2000-10-03;59.5625;59.8125;56.5;56.5625;42687000
2000-10-04;56.375;56.5625;54.5;55.4375;68226700
2000-10-05;55.5;57.25;55.25;55.375;40549700
2000-10-06;55.8125;56.75;54.75;55.5625;30897000
2000-10-09;55.625;55.75;53;54.1875;29161800
2000-10-10;53.9375;55.5625;53.8125;54.5625;31033100
2000-10-11;54;56.9375;54;55.75;50602900
2000-10-12;56.3125;56.875;53.8125;54.375;45109800
2000-10-13;53.875;54.875;52.125;53.75;52260600
2000-10-16;53.5;53.8125;49.5625;50.375;59879500
2000-10-17;51.875;52.4375;50.25;50.4375;40638300
2000-10-18;49.625;53.25;48.4375;51.75;55268200
2000-10-19;58.4375;62.1875;58;61.875;128496600
2000-10-20;61.3125;66.125;61.125;65.1875;80189300
2000-10-23;64.625;66.25;60.6875;62.125;92585200
2000-10-24;62.625;62.9375;60.1875;61.5;47213700
2000-10-25;61.9375;63.4375;60.4375;61.25;83801900
2000-10-26;61;65.0625;60.8125;64.4375;57413300
2000-10-27;64.6875;69.1875;64.625;67.6875;62146200
2000-10-30;67.5;70.125;67.375;69.0625;55028800
2000-10-31;69;69.5;68;68.875;52237000
2000-11-01;68.5;70.0625;68.4375;69.625;40654700
2000-11-02;70.375;70.8438;69.625;70.3125;38992600
2000-11-03;69.25;69.625;68.0625;68.25;34355500
2000-11-06;68.6875;70.125;68.25;69.5;37425700
2000-11-07;69.75;71.875;69.5;70.5;52165600
2000-11-08;71.125;72.375;68;69.4375;103074700
2000-11-09;68.5;71.3125;68.4375;70.875;45529300
2000-11-10;69.9375;70.3125;66.8125;67.375;46872200
2000-11-13;66.6875;68.125;64.4062;66.4375;41682400
2000-11-14;68;69.8125;67.3125;68.8125;42109300
2000-11-15;69.0625;70.875;68.6875;70.0625;30211100
2000-11-16;69.4375;71.5;68.9375;68.9375;46064300
2000-11-17;69.4375;70;67.7969;69.0625;53262800
2000-11-20;68.125;68.5;65.5625;67.1875;40078600
2000-11-21;67.375;69.25;67.375;67.75;29743800
2000-11-22;66.0625;69.5;66;68.25;38171600
2000-11-24;69;70.4375;68.5;69.9375;17219600
2000-11-27;71.4375;72.25;70.625;70.6875;42653800
2000-11-28;69.375;69.75;66.8125;67;63723100
2000-11-29;66.8125;67.125;63.25;65.0625;49140200
2000-11-30;62;62.0625;57;57.375;98600400
2000-12-01;58.0625;60.625;56.0625;56.625;54904900
2000-12-04;57.25;59;55.1875;56.4375;40203600
2000-12-05;59.1875;60.5;58.25;59.875;50867200
2000-12-06;60;60.0625;56.0625;56.6875;45280400
2000-12-07;53.4375;54;52.25;53.125;72654200
